Timestamp,InstanceType,ProductDescription,SpotPrice,AvailabilityZone
2023-12-27 13:02:32+00:00,c5a.2xlarge,Linux/UNIX,0.153100,us-east-1f
2023-12-27 12:32:27+00:00,c5a.2xlarge,Linux/UNIX,0.166400,us-east-1c
2023-12-27 10:03:54+00:00,c5a.2xlarge,Linux/UNIX,0.191100,us-east-1b
2023-12-27 09:47:25+00:00,c5a.2xlarge,Linux/UNIX,0.157600,us-east-1e
2023-12-27 06:32:28+00:00,c5a.2xlarge,Linux/UNIX,0.180400,us-east-1d
2023-12-27 05:48:33+00:00,c5a.2xlarge,Linux/UNIX,0.166200,us-east-1c
2023-12-27 05:02:26+00:00,c5a.2xlarge,Linux/UNIX,0.157500,us-east-1e
2023-12-27 04:17:34+00:00,c5a.2xlarge,Linux/UNIX,0.153400,us-east-1f
2023-12-27 01:17:55+00:00,c5a.2xlarge,Linux/UNIX,0.190600,us-east-1b
2023-12-27 00:47:02+00:00,c5a.2xlarge,Linux/UNIX,0.166000,us-east-1c
2023-12-26 22:02:26+00:00,c5a.2xlarge,Linux/UNIX,0.180100,us-east-1d
2023-12-26 21:02:35+00:00,c5a.2xlarge,Linux/UNIX,0.157600,us-east-1e
2023-12-26 20:47:44+00:00,c5a.2xlarge,Linux/UNIX,0.165700,us-east-1c
2023-12-26 19:47:01+00:00,c5a.2xlarge,Linux/UNIX,0.153000,us-east-1f
2023-12-26 19:47:01+00:00,c5a.2xlarge,Linux/UNIX,0.190200,us-east-1b
2023-12-26 14:17:39+00:00,c5a.2xlarge,Linux/UNIX,0.157300,us-east-1e
2023-12-26 13:31:54+00:00,c5a.2xlarge,Linux/UNIX,0.179900,us-east-1d
2023-12-26 12:02:00+00:00,c5a.2xlarge,Linux/UNIX,0.165300,us-east-1c
2023-12-26 11:32:27+00:00,c5a.2xlarge,Linux/UNIX,0.153300,us-east-1f
2023-12-26 10:17:33+00:00,c5a.2xlarge,Linux/UNIX,0.179500,us-east-1d
2023-12-26 09:17:31+00:00,c5a.2xlarge,Linux/UNIX,0.157000,us-east-1e
2023-12-26 04:01:56+00:00,c5a.2xlarge,Linux/UNIX,0.179400,us-east-1d
2023-12-26 03:32:16+00:00,c5a.2xlarge,Linux/UNIX,0.190100,us-east-1b
2023-12-26 03:17:31+00:00,c5a.2xlarge,Linux/UNIX,0.157400,us-east-1e
2023-12-26 02:32:31+00:00,c5a.2xlarge,Linux/UNIX,0.153800,us-east-1f
2023-12-26 00:17:35+00:00,c5a.2xlarge,Linux/UNIX,0.165100,us-east-1c
2023-12-25 22:17:13+00:00,c5a.2xlarge,Linux/UNIX,0.158500,us-east-1e
2023-12-25 20:31:54+00:00,c5a.2xlarge,Linux/UNIX,0.189700,us-east-1b
2023-12-25 20:31:54+00:00,c5a.2xlarge,Linux/UNIX,0.179000,us-east-1d
2023-12-25 20:17:09+00:00,c5a.2xlarge,Linux/UNIX,0.153700,us-east-1f
2023-12-25 20:01:58+00:00,c5a.2xlarge,Linux/UNIX,0.165000,us-east-1c
2023-12-25 16:02:29+00:00,c5a.2xlarge,Linux/UNIX,0.178900,us-east-1d
2023-12-25 14:32:34+00:00,c5a.2xlarge,Linux/UNIX,0.157500,us-east-1e
2023-12-25 13:17:24+00:00,c5a.2xlarge,Linux/UNIX,0.189600,us-east-1b
2023-12-25 13:01:59+00:00,c5a.2xlarge,Linux/UNIX,0.164800,us-east-1c
2023-12-25 12:17:35+00:00,c5a.2xlarge,Linux/UNIX,0.155600,us-east-1f
2023-12-25 09:47:35+00:00,c5a.2xlarge,Linux/UNIX,0.157300,us-east-1e
2023-12-25 09:17:24+00:00,c5a.2xlarge,Linux/UNIX,0.178800,us-east-1d
2023-12-25 09:02:36+00:00,c5a.2xlarge,Linux/UNIX,0.154700,us-east-1f
2023-12-25 08:01:59+00:00,c5a.2xlarge,Linux/UNIX,0.164500,us-east-1c
2023-12-25 06:32:36+00:00,c5a.2xlarge,Linux/UNIX,0.189300,us-east-1b
2023-12-25 03:02:30+00:00,c5a.2xlarge,Linux/UNIX,0.189000,us-east-1b
2023-12-25 02:47:29+00:00,c5a.2xlarge,Linux/UNIX,0.164200,us-east-1c
2023-12-25 02:18:56+00:00,c5a.2xlarge,Linux/UNIX,0.153900,us-east-1f
2023-12-25 01:32:32+00:00,c5a.2xlarge,Linux/UNIX,0.157900,us-east-1e
2023-12-25 00:32:37+00:00,c5a.2xlarge,Linux/UNIX,0.178200,us-east-1d
2023-12-24 23:31:55+00:00,c5a.2xlarge,Linux/UNIX,0.188600,us-east-1b
2023-12-24 21:03:16+00:00,c5a.2xlarge,Linux/UNIX,0.157300,us-east-1e
2023-12-24 20:33:32+00:00,c5a.2xlarge,Linux/UNIX,0.164100,us-east-1c
2023-12-24 19:32:25+00:00,c5a.2xlarge,Linux/UNIX,0.153300,us-east-1f
2023-12-24 19:17:29+00:00,c5a.2xlarge,Linux/UNIX,0.178000,us-east-1d
2023-12-24 17:47:28+00:00,c5a.2xlarge,Linux/UNIX,0.157000,us-east-1e
2023-12-24 17:19:43+00:00,c5a.2xlarge,Linux/UNIX,0.188500,us-east-1b
2023-12-24 15:32:26+00:00,c5a.2xlarge,Linux/UNIX,0.163800,us-east-1c
2023-12-24 14:32:34+00:00,c5a.2xlarge,Linux/UNIX,0.177600,us-east-1d
2023-12-24 13:32:00+00:00,c5a.2xlarge,Linux/UNIX,0.188200,us-east-1b
2023-12-24 11:02:28+00:00,c5a.2xlarge,Linux/UNIX,0.152600,us-east-1f
2023-12-24 10:17:36+00:00,c5a.2xlarge,Linux/UNIX,0.157400,us-east-1e
2023-12-24 08:02:58+00:00,c5a.2xlarge,Linux/UNIX,0.177100,us-east-1d
2023-12-24 06:47:33+00:00,c5a.2xlarge,Linux/UNIX,0.163700,us-east-1c
2023-12-24 06:33:55+00:00,c5a.2xlarge,Linux/UNIX,0.152100,us-east-1f
2023-12-24 05:46:53+00:00,c5a.2xlarge,Linux/UNIX,0.187800,us-east-1b
2023-12-24 02:32:27+00:00,c5a.2xlarge,Linux/UNIX,0.187600,us-east-1b
2023-12-24 02:17:34+00:00,c5a.2xlarge,Linux/UNIX,0.151700,us-east-1f
2023-12-24 02:17:34+00:00,c5a.2xlarge,Linux/UNIX,0.156900,us-east-1e
2023-12-24 01:47:32+00:00,c5a.2xlarge,Linux/UNIX,0.163400,us-east-1c
2023-12-24 00:47:40+00:00,c5a.2xlarge,Linux/UNIX,0.176800,us-east-1d
2023-12-23 22:02:12+00:00,c5a.2xlarge,Linux/UNIX,0.187400,us-east-1b
2023-12-23 18:47:49+00:00,c5a.2xlarge,Linux/UNIX,0.151200,us-east-1f
2023-12-23 17:47:31+00:00,c5a.2xlarge,Linux/UNIX,0.163200,us-east-1c
2023-12-23 17:47:31+00:00,c5a.2xlarge,Linux/UNIX,0.156400,us-east-1e
2023-12-23 15:47:29+00:00,c5a.2xlarge,Linux/UNIX,0.176500,us-east-1d
2023-12-23 13:47:12+00:00,c5a.2xlarge,Linux/UNIX,0.187100,us-east-1b
2023-12-23 13:02:32+00:00,c5a.2xlarge,Linux/UNIX,0.150200,us-east-1f
2023-12-23 11:47:26+00:00,c5a.2xlarge,Linux/UNIX,0.155900,us-east-1e
2023-12-23 11:17:10+00:00,c5a.2xlarge,Linux/UNIX,0.162900,us-east-1c
2023-12-23 10:32:31+00:00,c5a.2xlarge,Linux/UNIX,0.176200,us-east-1d
2023-12-23 06:32:09+00:00,c5a.2xlarge,Linux/UNIX,0.156100,us-east-1e
